message,emotion
i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,anger
i get made to feel left out and unimportant in my own family,sadness
i wasnt going to post today as i am feeling quite depressed about the whole situation but then thought that this is my outlet for my feelings and i want people to understand how a carer can sometimes feel the bad as well as the good,sadness
i feel extremely delicate and a bit helpless,love
i feel frightened that i might fail to notice important emotions that leads to serious consequences,fear
i feel stubborn because i just want my seattle friends,anger
i remember feeling so homesick thinking about my new place and wondering if id made the right choice,sadness
i am left feeling bitterly disappointed as i had such high hopes for this especially with it being from such a huge well known hair care brand,sadness
i like to think that no one hates me its quiet difficult to feel that towards me i am funny as heaven,surprise
i feel jealous by them,anger
i feel soo weird,surprise
i had been pretty spoiled ahead of time about the major events i am still feeling a bit shocked and dismayed,surprise
i was jealous because they are still so young and they get to get wasted on a tuesday night and not feel gulity about it where as i now challenge myself to have one drink and not feel like im ruining my life even though im resolutely jealous of these young girls i also felt sorry for them,anger
i still feel a bit reluctant and stress,fear
i got forced awake by a screeching banshee and im feeling groggy and pissed,sadness
i might feel outraged and offended but that s really not called for,anger
i really dont know how i feel about this transition considering i loved high school a lot,love
i feel really sad about some of the people i am leaving behind,sadness
i really shouldnt get sniffly over reguluss death but theres always that hopeful feeling for a tragic ending,sadness
i feel shocked about both articles you think that a person would have some professional dignity and no resort to such juvenile means as fabricating a whole story with no proof did they not give any thought to the consequences,surprise
i feel jaded horrifically jaded,sadness
i feel wonderful and am totally loving and going to keep loving this feeling,joy
im feeling complacent as an artist so im giving myself a task,joy
i have a feeling im butchering the name which would be a shame since they have such lovely products,love
i feel utterly blessed to have my three girls,joy
i end my day feeling re assured that i did not turn my frustration on god but i did turn my frustration to god,joy
ive been in rough situation where i feel rejected lonely out of my comfort zone but theres that one song that really picked me up and let me continue my life,sadness
i feel surprised as though i have not earned this place,surprise
i like i know that i will take it in stride or at least that is how i am feeling this lovely friday morning,love
i feel a little offended whenever i hear that,anger
i felt bad that i didnt feel impressed when i first bought it because i was very wrong,surprise
i want to feel tortured but not endure it,fear
i feel so deeply shocked and saddened,surprise
i get the feeling hes not very impressed by this whole thing,surprise
i feel stressed all the time,sadness
i s account of the case which makes me feel now that i ve read it that i shouldn t even have bothered because it i,anger
i feel we will all be more compassionate gentle and understanding humans as a result of this trial,love
i gave up on sleeping after awhile the pain lessened although i still feel tender in both arms,love
bad temper of the serving lady in the students dining hall,anger
i feel in some ways they have never need me more and i am still surprised by it at times,surprise
i spend more than minutes marketing i start to feel overwhelmed depressed almost desperate even if im doing fine with my workload and earnings,surprise
i am feeling the suffering as days passed,sadness
i am not feeling hopeless,sadness
i do it a lot when i feel intimidated like in an interview or talking to a professor even when i meet new people,fear
im getting really sad having to say so many so longs im almost feeling envious but not in a bad way,anger
i said this feels fantastic and id definitely buy and wear these regularly in my correct shades,joy
i feel so weird like hey im completely lucid and able to walk around but im not allowed to clean my house so let me watch you while you scrub my toilet,surprise
i really don t feel stressed,anger
i have found some people feel inhibited and perhaps embarrassed to dance but there are many ways to move,sadness
i were to set a timer and only allow myself a short amount of time each day and focus on getting done and cleaning up that i am sure at the end of the day i would feel a lot less stressed and our house would look a lot better,anger
i feel scared of it,fear
i feel that this is a perfect addition to our competition and one that many entrants included previously,joy
i left feeling slightly dazed confused and disappointed,surprise
i say friend i feel caring valued sometimes overwhelmed,love
i wake up to now and feeling a little stunned,surprise
i felt disgusted when i found out that someone had betrayed me that person had been dishonest with me and i felt used,anger
i hope no one no matter what their faith will feel unwelcome where we vote tomorrow,sadness
i am feeling particularly ecstatic today because i bought my first piece of real adult grown up people furniture,joy
i feel like bella except i dont have a handsome vampire boyfriend,joy
i feel much like i do when i drink jaegermeister sarcastic and aggressive,anger
i feel like adding these funny little pieces in the book make it less of a scientific and clinical kind of book,surprise
when a friend wouldnt speak to me and wouldnt tell me why,anger
i found so much confidence in my s and now i feel like my core is somewhat shaken,fear
i was really able to start bonding with them and feel the closeness that i had been longing for,love
i started feeling a little nervous,fear
i wait so long every year when i know how absolutely heavenly it will feel katie had an amazing girl do her hair strawberry blonde,surprise
i feel angry disappoint frustrated excited and happy and i get to enjoy those feelings even though sometimes it is not good to dwell in it,anger
i do think it feels a little strange to stand there as the woman does all the work,surprise
i feel resentment for having been manipulated by him at a tender age when i did not know any better,love
when my rights to use a shared house had been usurped by coowners out of pure selfishness,anger
i feel so hated and i dun wanna feel hated,anger
i don t ever feel that i m with a hostile or threatening person,anger
i did not feel in the least smart,joy
i feel i have too much knowledge of the world and it would be just selfish if i kept it to myself,anger
