,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
40997,35.0,female,High School,157123.0,9,MORTGAGE,6657.0,HOMEIMPROVEMENT,17.37,0.04,5.0,659.0,Yes,0.0
44208,26.0,male,Master,42906.0,3,RENT,12958.0,MEDICAL,11.59,0.3,3.0,645.0,No,1.0
9915,22.0,,Associate,58958.0,3,RENT,9000.0,DEBTCONSOLIDATION,7.88,0.15,2.0,652.0,Yes,0.0
17597,22.0,male,High School,82024.0,0,RENT,7500.0,VENTURE,9.76,0.09,3.0,566.0,Yes,0.0
21842,31.0,female,Master,78532.0,8,RENT,6000.0,VENTURE,6.99,0.08,10.0,703.0,No,0.0
1268,22.0,,Bachelor,64422.0,0,RENT,16000.0,EDUCATION,7.9,0.25,4.0,,Yes,0.0
1233,23.0,male,Associate,30811.0,1,MORTGAGE,5000.0,MEDICAL,9.32,0.16,2.0,696.0,No,0.0
35971,28.0,male,Master,29893.0,8,RENT,5000.0,PERSONAL,12.4,0.17,6.0,584.0,Yes,0.0
18343,32.0,male,High School,65714.0,8,RENT,20000.0,VENTURE,11.11,0.3,7.0,653.0,No,1.0
40449,32.0,male,Bachelor,100166.0,11,MORTGAGE,18000.0,VENTURE,8.24,0.18,7.0,,Yes,0.0
10571,26.0,male,High School,76443.0,1,MORTGAGE,12000.0,EDUCATION,15.27,0.16,2.0,647.0,No,1.0
9585,22.0,male,Bachelor,76105.0,0,OWN,7000.0,VENTURE,13.35,0.09,2.0,628.0,Yes,0.0
10040,26.0,male,High School,78943.0,6,MORTGAGE,10950.0,HOMEIMPROVEMENT,7.88,0.14,2.0,647.0,No,
20310,27.0,female,Master,96251.0,4,RENT,4000.0,MEDICAL,14.46,0.04,9.0,586.0,No,1.0
37663,,male,Associate,73109.0,13,RENT,10000.0,VENTURE,7.51,0.14,13.0,,Yes,0.0
30105,38.0,female,Associate,32374.0,16,RENT,5200.0,VENTURE,13.43,0.16,15.0,530.0,Yes,0.0
955,22.0,female,High School,60829.0,1,RENT,18250.0,DEBTCONSOLIDATION,16.7,0.3,3.0,633.0,No,1.0
13896,,male,Associate,64444.0,0,RENT,14000.0,VENTURE,14.27,0.22,3.0,656.0,Yes,0.0
5740,21.0,male,High School,39794.0,0,RENT,5325.0,PERSONAL,14.27,0.13,3.0,636.0,No,0.0
9352,,female,Master,67426.0,2,MORTGAGE,15250.0,PERSONAL,15.68,0.23,2.0,614.0,No,
26864,27.0,female,Bachelor,33366.0,5,OWN,6000.0,VENTURE,8.0,0.18,6.0,,Yes,
21241,29.0,,Master,56063.0,7,MORTGAGE,6000.0,VENTURE,11.49,0.11,5.0,657.0,No,0.0
