,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
4847,26.0,male,Associate,43996.0,4,RENT,5000.0,VENTURE,10.37,0.11,4.0,675.0,No,0.0
13802,22.0,female,Bachelor,115708.0,0,MORTGAGE,20000.0,EDUCATION,7.88,0.17,3.0,635.0,No,0.0
39763,25.0,female,High School,57827.0,0,RENT,6000.0,PERSONAL,11.6,0.1,4.0,589.0,Yes,0.0
39215,31.0,female,Master,126727.0,9,RENT,24000.0,DEBTCONSOLIDATION,10.27,0.19,7.0,644.0,Yes,0.0
26369,33.0,female,Associate,120987.0,10,OWN,25000.0,MEDICAL,12.18,0.21,10.0,644.0,Yes,0.0
21202,29.0,female,High School,55859.0,9,MORTGAGE,9600.0,VENTURE,10.36,0.17,5.0,703.0,No,0.0
3792,22.0,male,High School,36795.0,1,RENT,4000.0,EDUCATION,11.01,0.11,3.0,582.0,No,0.0
29878,47.0,male,Associate,49136.0,22,MORTGAGE,6000.0,PERSONAL,7.74,0.12,11.0,603.0,Yes,0.0
41406,26.0,male,High School,115342.0,4,RENT,8000.0,PERSONAL,11.13,0.07,4.0,610.0,Yes,0.0
4673,26.0,female,,44369.0,0,MORTGAGE,,EDUCATION,10.59,0.25,4.0,578.0,No,1.0
40895,24.0,female,Associate,94887.0,3,MORTGAGE,4566.0,EDUCATION,9.42,0.05,3.0,684.0,Yes,0.0
40873,26.0,female,High School,64203.0,0,MORTGAGE,10797.0,VENTURE,7.89,0.17,3.0,665.0,No,0.0
26031,,female,Associate,74331.0,12,RENT,,HOMEIMPROVEMENT,6.54,0.17,9.0,662.0,No,0.0
1896,24.0,male,High School,38154.0,2,RENT,2000.0,VENTURE,16.29,0.05,2.0,577.0,No,1.0
4570,22.0,female,Bachelor,121196.0,1,RENT,10000.0,EDUCATION,9.32,0.08,4.0,599.0,Yes,0.0
14148,24.0,,High School,120708.0,0,MORTGAGE,13000.0,DEBTCONSOLIDATION,11.48,0.11,4.0,620.0,No,0.0
21756,29.0,male,High School,66899.0,6,RENT,6000.0,DEBTCONSOLIDATION,11.01,0.09,9.0,653.0,No,0.0
31729,46.0,male,Associate,73266.0,22,RENT,15000.0,MEDICAL,13.49,0.2,17.0,609.0,Yes,0.0
40923,38.0,female,Associate,84617.0,13,MORTGAGE,9000.0,HOMEIMPROVEMENT,9.16,0.11,12.0,558.0,Yes,0.0
44683,23.0,male,,23346.0,2,OWN,4027.0,VENTURE,15.01,0.17,4.0,646.0,No,1.0
20497,27.0,male,Bachelor,49696.0,8,MORTGAGE,,DEBTCONSOLIDATION,7.29,0.06,8.0,645.0,No,0.0
9278,23.0,female,,31269.0,0,RENT,5000.0,EDUCATION,10.62,0.16,3.0,,Yes,0.0
34138,24.0,female,High School,31006.0,0,MORTGAGE,6477.0,MEDICAL,10.09,0.21,4.0,592.0,Yes,0.0
32558,,male,Associate,84787.0,32,MORTGAGE,15000.0,PERSONAL,10.38,0.18,24.0,592.0,No,0.0
2157,25.0,male,Associate,76329.0,5,RENT,2400.0,DEBTCONSOLIDATION,7.14,0.03,4.0,651.0,No,0.0
40493,26.0,female,Bachelor,145123.0,7,RENT,4800.0,MEDICAL,12.9,0.03,7.0,582.0,Yes,0.0
11116,24.0,male,High School,52839.0,6,RENT,10000.0,MEDICAL,13.62,0.19,3.0,678.0,No,1.0
34974,,female,Bachelor,55845.0,6,MORTGAGE,2000.0,MEDICAL,8.06,0.04,10.0,665.0,Yes,0.0
20638,33.0,male,Associate,46519.0,10,RENT,4900.0,EDUCATION,10.28,0.11,6.0,624.0,No,1.0
40500,27.0,female,Bachelor,60885.0,5,RENT,3000.0,HOMEIMPROVEMENT,7.03,0.05,5.0,657.0,No,0.0
7402,22.0,female,Bachelor,51398.0,0,RENT,6600.0,MEDICAL,16.89,0.13,3.0,608.0,No,1.0
36557,27.0,female,High School,60898.0,4,OWN,9873.0,PERSONAL,12.01,0.16,5.0,657.0,Yes,0.0
15662,26.0,,High School,181109.0,6,MORTGAGE,6000.0,DEBTCONSOLIDATION,9.63,0.03,4.0,620.0,No,0.0
28711,32.0,male,,42950.0,11,RENT,,PERSONAL,11.49,0.13,5.0,682.0,Yes,0.0
3194,23.0,female,,47905.0,0,RENT,3500.0,EDUCATION,11.86,0.07,4.0,685.0,No,1.0
28940,34.0,male,,65797.0,8,MORTGAGE,7000.0,MEDICAL,11.89,0.11,9.0,582.0,Yes,0.0
40578,25.0,female,Associate,85081.0,5,MORTGAGE,16000.0,EDUCATION,9.65,0.19,6.0,569.0,No,0.0
8362,,female,Bachelor,69709.0,3,MORTGAGE,7000.0,EDUCATION,7.51,0.1,2.0,631.0,Yes,0.0
42834,30.0,male,Bachelor,50170.0,10,RENT,3518.0,DEBTCONSOLIDATION,10.17,0.07,8.0,697.0,No,1.0
39896,29.0,male,Bachelor,135349.0,5,RENT,6000.0,DEBTCONSOLIDATION,11.06,0.04,9.0,560.0,Yes,0.0
6026,26.0,female,Associate,58554.0,5,MORTGAGE,2000.0,PERSONAL,10.99,0.03,2.0,671.0,Yes,0.0
24982,31.0,female,Master,95764.0,5,MORTGAGE,19150.0,MEDICAL,6.99,0.2,7.0,573.0,Yes,0.0
25650,31.0,female,,107171.0,8,MORTGAGE,9000.0,EDUCATION,7.29,0.08,8.0,560.0,Yes,0.0
43700,23.0,male,Bachelor,76387.0,0,RENT,16000.0,MEDICAL,14.53,0.21,3.0,687.0,No,1.0
3262,24.0,male,Associate,44234.0,1,RENT,3525.0,VENTURE,14.59,0.08,3.0,605.0,No,0.0
11028,22.0,female,High School,88128.0,0,RENT,4200.0,DEBTCONSOLIDATION,11.71,0.05,3.0,623.0,Yes,0.0
44543,,male,High School,24052.0,8,OWN,7000.0,HOMEIMPROVEMENT,15.78,0.29,5.0,590.0,No,1.0
40657,,male,High School,115064.0,0,MORTGAGE,4000.0,VENTURE,8.08,0.03,3.0,626.0,Yes,0.0
4800,21.0,male,Associate,51296.0,0,MORTGAGE,13750.0,EDUCATION,11.36,0.27,4.0,596.0,No,0.0
8494,23.0,female,Associate,70542.0,1,MORTGAGE,5000.0,DEBTCONSOLIDATION,7.14,0.07,2.0,620.0,Yes,0.0
12376,24.0,female,Bachelor,89712.0,1,MORTGAGE,25000.0,DEBTCONSOLIDATION,15.57,0.28,3.0,617.0,No,1.0
32271,45.0,male,Master,73300.0,27,RENT,25000.0,EDUCATION,9.99,0.34,14.0,711.0,No,1.0
19749,30.0,female,Associate,36992.0,4,MORTGAGE,1100.0,PERSONAL,14.65,0.03,10.0,,No,1.0
27175,27.0,female,Associate,29953.0,6,OWN,8500.0,VENTURE,5.42,0.28,6.0,583.0,Yes,0.0
27477,30.0,male,Bachelor,171452.0,9,MORTGAGE,10000.0,VENTURE,11.12,0.06,8.0,668.0,No,0.0
35850,47.0,male,Associate,1661567.0,22,MORTGAGE,6545.0,MEDICAL,7.65,0.0,17.0,622.0,Yes,
11816,23.0,female,Associate,92447.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,11.01,0.22,4.0,635.0,No,
28730,29.0,male,Bachelor,145031.0,8,OWN,5000.0,PERSONAL,14.09,0.03,5.0,630.0,No,0.0
41791,25.0,male,Associate,121139.0,0,MORTGAGE,8000.0,MEDICAL,14.66,0.07,4.0,622.0,Yes,0.0
21379,32.0,male,High School,52531.0,12,RENT,5600.0,DEBTCONSOLIDATION,7.51,0.11,7.0,586.0,Yes,0.0
31707,41.0,female,High School,150888.0,20,MORTGAGE,14975.0,VENTURE,6.03,0.1,16.0,646.0,Yes,0.0
36340,22.0,,High School,60749.0,1,RENT,11000.0,EDUCATION,10.51,0.18,3.0,650.0,No,0.0
5586,23.0,female,Master,90919.0,1,RENT,5000.0,EDUCATION,7.49,0.05,3.0,647.0,No,0.0
26051,32.0,female,High School,78996.0,13,RENT,13000.0,DEBTCONSOLIDATION,12.53,0.16,6.0,670.0,No,0.0
26736,32.0,male,Bachelor,118907.0,9,MORTGAGE,15000.0,DEBTCONSOLIDATION,10.95,0.13,5.0,579.0,No,1.0
19911,27.0,male,Bachelor,44911.0,5,MORTGAGE,5000.0,VENTURE,5.42,0.11,5.0,622.0,Yes,0.0
12836,25.0,female,High School,103283.0,3,MORTGAGE,5000.0,HOMEIMPROVEMENT,6.17,0.05,2.0,648.0,Yes,0.0
36347,23.0,female,High School,109316.0,0,MORTGAGE,15000.0,MEDICAL,10.03,0.14,4.0,636.0,Yes,0.0
12200,25.0,male,High School,96922.0,3,OWN,2700.0,PERSONAL,10.59,0.03,4.0,643.0,No,0.0
30271,37.0,female,Associate,29957.0,15,RENT,7000.0,MEDICAL,6.92,0.23,14.0,634.0,Yes,0.0
1331,24.0,male,Associate,29548.0,3,RENT,1000.0,PERSONAL,17.99,0.03,3.0,631.0,No,1.0
7304,22.0,male,Bachelor,39540.0,2,RENT,6500.0,PERSONAL,11.83,0.16,2.0,603.0,Yes,0.0
20006,28.0,female,,73106.0,9,RENT,3600.0,EDUCATION,9.63,0.05,5.0,683.0,No,0.0
39941,27.0,male,High School,181130.0,1,MORTGAGE,,MEDICAL,14.9,0.04,5.0,576.0,No,0.0
34262,28.0,male,Bachelor,42806.0,6,RENT,10400.0,MEDICAL,11.69,0.24,8.0,622.0,No,0.0
29075,31.0,male,Associate,90817.0,10,MORTGAGE,13800.0,DEBTCONSOLIDATION,11.01,0.15,9.0,584.0,Yes,0.0
7135,23.0,male,Bachelor,80307.0,0,RENT,7000.0,EDUCATION,7.66,0.09,3.0,528.0,Yes,0.0
27660,28.0,,Bachelor,191739.0,5,MORTGAGE,15000.0,PERSONAL,11.86,0.08,8.0,484.0,Yes,0.0
13335,22.0,female,Bachelor,108962.0,0,MORTGAGE,10000.0,EDUCATION,7.88,0.09,3.0,659.0,No,0.0
39938,,male,Associate,66941.0,5,RENT,3500.0,DEBTCONSOLIDATION,9.5,0.05,5.0,567.0,No,0.0
2231,25.0,male,Associate,92143.0,2,RENT,13200.0,EDUCATION,12.23,0.14,4.0,579.0,Yes,0.0
22427,29.0,male,High School,57345.0,7,RENT,,EDUCATION,10.36,0.12,7.0,582.0,Yes,0.0
